EXP_FOLDER,B,n_i,phi_true,seed,method,Beta,Beta_vec,Phi,Sigmasq,Tausq,ELBO,tau_selected,results_path
vary_B2,49,6,2,34,VI_best_tau_by_ELBO,8.307835579,,0.262818336,3.319495147,2.033460592,-657.6317505,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_34.pt
vary_B2,49,6,2,35,GPArealModel,7.272215366,,0.320478551,5.106601185,0.843737457,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_35.pt
vary_B2,49,6,2,35,GPmodel,7.947581768,,0.432119712,3.349200823,0.981477027,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_35.pt
vary_B2,49,6,2,35,VI_best_tau_by_ELBO,8.054344177,,0.262289405,2.910320849,2.155267296,-660.3861816,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_35.pt
vary_B2,49,6,2,36,GPArealModel,7.609333992,,0.468634866,3.86882257,1.214433091,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_36.pt
vary_B2,49,6,2,36,GPmodel,7.946434975,,0.604602128,2.471912551,0.959902339,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_36.pt
vary_B2,49,6,2,36,VI_best_tau_by_ELBO,8.01783371,,0.262272388,2.492652387,2.147792683,-650.458252,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_36.pt
vary_B2,49,6,2,37,GPArealModel,7.463987827,,0.529430348,4.743845289,0.746096549,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_37.pt
vary_B2,49,6,2,37,GPmodel,7.912232399,,0.49657495,3.335325161,0.935336579,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_37.pt
vary_B2,49,6,2,37,VI_best_tau_by_ELBO,8.090419769,,0.263032615,3.999049339,2.06022102,-662.9095947,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_37.pt
vary_B2,49,6,2,38,GPArealModel,7.735944748,,0.500248284,5.784502655,1.262273522,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_38.pt
vary_B2,49,6,2,38,GPmodel,7.951111317,,0.580635394,3.076506789,1.282367807,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_38.pt
vary_B2,49,6,2,38,VI_best_tau_by_ELBO,8.108753204,,0.262389094,3.589660937,2.555070129,-681.6059814,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_38.pt
vary_B2,49,6,2,39,GPArealModel,7.313007355,,0.325555196,5.73868684,1.009503469,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_39.pt
vary_B2,49,6,2,39,GPmodel,7.909593582,,0.428481296,3.560209455,0.854979517,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_39.pt
vary_B2,49,6,2,39,VI_best_tau_by_ELBO,7.952713013,,0.262217879,3.684709511,1.977273156,-656.7932617,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_39.pt
vary_B2,49,6,2,40,GPArealModel,8.25596714,,0.682008858,2.790782457,1.76930023,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_40.pt
vary_B2,49,6,2,40,GPmodel,7.972046375,,0.716519153,2.031603191,0.985088091,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_40.pt
vary_B2,49,6,2,40,VI_best_tau_by_ELBO,8.362341881,,0.262486428,1.894127691,2.154498195,-639.5697144,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_40.pt
vary_B2,49,6,2,41,GPArealModel,8.255373955,,1.052544811,2.701593938,1.327423534,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_41.pt
vary_B2,49,6,2,41,GPmodel,7.983635902,,1.051998784,1.861504179,1.273362693,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_41.pt
vary_B2,49,6,2,41,VI_best_tau_by_ELBO,8.336985588,,0.262600541,1.699783461,2.462692731,-650.6841064,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_41.pt
vary_B2,49,6,2,42,GPArealModel,7.513697624,,0.655845603,3.855161571,1.682452358,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_42.pt
vary_B2,49,6,2,42,GPmodel,7.850013733,,0.615950936,2.498655751,1.13670524,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_42.pt
vary_B2,49,6,2,42,VI_best_tau_by_ELBO,8.040745735,,0.262732327,2.62124356,2.286322017,-660.3974731,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_42.pt
vary_B2,49,6,2,43,GPArealModel,7.598726749,,0.739621465,3.323914074,1.733174731,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_43.pt
vary_B2,49,6,2,43,GPmodel,7.93555212,,0.917428162,2.028781143,1.303775288,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_43.pt
vary_B2,49,6,2,43,VI_best_tau_by_ELBO,8.081420898,,0.262571216,2.17866348,2.521596461,-660.9235596,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_43.pt
vary_B2,49,6,2,44,GPArealModel,7.899849892,,0.317045868,6.711233239,1.235520857,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_44.pt
vary_B2,49,6,2,44,GPmodel,7.938287735,,0.426404902,3.578188998,1.073172008,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_44.pt
vary_B2,49,6,2,44,VI_best_tau_by_ELBO,8.190692902,,0.261862129,2.619647914,2.384199473,-661.4708252,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_44.pt
vary_B2,49,6,2,45,GPArealModel,7.818294048,,0.334427832,6.867112731,1.483089746,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_45.pt
vary_B2,49,6,2,45,GPmodel,8.001014709,,0.411585884,4.080604877,1.030271213,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_45.pt
vary_B2,49,6,2,45,VI_best_tau_by_ELBO,8.063238144,,0.262517512,4.844836183,1.98399329,-672.3155151,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_45.pt
