EXP_FOLDER,B,n_i,phi_true,seed,method,Beta,Beta_vec,Phi,Sigmasq,Tausq,ELBO,tau_selected,Sigmasq_phi
vary_B2,49,6,2.0,54,VI_best_tau_by_ELBO,8.126870155334473,,0.2629976272583008,3.283457876802062,2.1508837105230794,-659.5435668945313,0.3,0.8635416308015204
vary_B2,49,6,2.0,55,GPmodel,8.058586120605469,,1.8650228649463945,3.2637612317933957,1.1839050508478435,,,1.7499845675549959
vary_B2,49,6,2.0,55,GPArealModel,8.63817310333252,,2.798718995462817,4.769408258368057,1.554384405813925,,,1.7041397389663095
vary_B2,49,6,2.0,55,VI_best_tau_by_ELBO,8.4293794631958,,0.26248103380203247,3.631355343086927,2.2694314464488152,-671.1303344726563,0.3,0.9531619045559909
vary_B2,49,6,2.0,56,GPmodel,7.9389472007751465,,1.6592217539732663,2.3386660557230337,1.138667396161863,,,1.4094957772357624
vary_B2,49,6,2.0,56,GPArealModel,8.252212524414062,,2.4594262547278363,3.4824799853609565,1.5809706842697453,,,1.415972517438354
vary_B2,49,6,2.0,56,VI_best_tau_by_ELBO,8.1759672164917,,0.2622417211532593,1.9821948208766471,2.2278893148956196,-650.4409790039062,0.3,0.5198141814877684
vary_B2,49,6,2.0,57,GPmodel,8.016181945800781,,2.2895302595115794,3.399474199175806,0.9436764552737471,,,1.4847911203851083
vary_B2,49,6,2.0,57,GPArealModel,7.839796543121338,,3.00610919101808,4.106121071266355,2.2160228502880677,,,1.3659254572438648
vary_B2,49,6,2.0,57,VI_best_tau_by_ELBO,8.178131103515625,,0.2627299129962921,3.1521869635924666,1.9828358780105664,-654.8619567871094,0.3,0.828173806692695
vary_B2,49,6,2.0,58,GPmodel,7.92455530166626,,1.7927376596080202,4.549894000942664,1.0239094120529066,,,2.5379586224219177
vary_B2,49,6,2.0,58,GPArealModel,7.590855598449707,,1.706360285674109,5.315279685477119,0.9048792288342267,,,3.1149808924305122
vary_B2,49,6,2.0,58,VI_best_tau_by_ELBO,8.079911231994629,,0.26302775740623474,5.319470373593643,2.7798541289009027,-696.1811950683593,0.4,1.3991683629552416
vary_B2,49,6,2.0,59,GPmodel,7.885034084320068,,1.9779080340407897,3.086201249903533,0.850642607653677,,,1.560336070630414
vary_B2,49,6,2.0,59,GPArealModel,7.61805534362793,,1.608943818670835,3.996169986630525,0.9260471512598943,,,2.483722514271382
vary_B2,49,6,2.0,59,VI_best_tau_by_ELBO,8.094285011291504,,0.26281148195266724,2.8536920462627267,2.069837085846595,-650.4046630859375,0.3,0.7499830357148466
vary_B2,49,6,2.0,6,GPmodel,7.9602179527282715,,1.6820385456280473,2.7518228219874183,0.9785608213026606,,,1.6360046142461795
vary_B2,49,6,2.0,6,GPArealModel,7.7071733474731445,,2.134300110467348,3.1326022889702485,2.5527305530493978,,,1.4677421762791845
vary_B2,49,6,2.0,6,VI_best_tau_by_ELBO,8.058283805847168,,0.2623767554759979,2.231186926160913,2.3902971396945585,-659.4769226074219,0.3,0.5854115865465653
vary_B2,49,6,2.0,60,GPmodel,7.995116233825684,,1.4050397141505262,2.3009203005635697,1.3371571375781537,,,1.637619404911045
vary_B2,49,6,2.0,60,GPArealModel,7.666568756103516,,1.842891295882283,3.7025784671493676,2.012219176837055,,,2.009113872002288
