EXP_FOLDER,B,n_i,phi_true,seed,method,Beta,Beta_vec,Phi,Sigmasq,Tausq,ELBO,tau_selected,Sigmasq_phi,results_path,n_correct_perm_s,n_correct_perm_x
vary_B2_annealed,49,6,2.0,31,GPArealModel,8.143547058105469,,1.2083447558177531,2.389806838717675,1.2641628469479678,,,1.9777524809965032,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_31.pt,,
vary_B2_annealed,49,6,2.0,31,GPmodel,7.9661993980407715,,1.119297653670728,1.3837364435683512,1.0491209295370907,,,1.2362542162314003,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_31.pt,,
vary_B2_annealed,49,6,2.0,31,VI_best_tau_by_ELBO,8.19802188873291,,0.2629164755344391,1.2340251653672571,1.9884604284977114,-624.4624145507812,0.9,,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_31.pt,4.0,6.0
vary_B2_annealed,49,6,2.0,32,GPArealModel,7.467215538024902,,0.28129064688173616,7.868201375771701,0.7968017453748847,,,27.971784568719595,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_32.pt,,
vary_B2_annealed,49,6,2.0,32,GPmodel,7.850864887237549,,0.37550052631135605,4.26568649221845,1.0601287511011366,,,11.360001367032558,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_32.pt,,
vary_B2_annealed,49,6,2.0,32,VI_best_tau_by_ELBO,8.126708984375,,0.261874258518219,4.256567566628166,1.935837345527999,-670.4356689453125,0.9,,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_32.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,33,GPArealModel,8.306509971618652,,0.23368967476826563,7.713290717628939,2.7618552292783276,,,33.006553350196974,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_33.pt,,
vary_B2_annealed,49,6,2.0,33,GPmodel,7.968324184417725,,0.393589294045197,4.494333550703637,1.1618283633572584,,,11.418840956043738,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_33.pt,,
vary_B2_annealed,49,6,2.0,33,VI_best_tau_by_ELBO,8.241971969604492,,0.2614867091178894,3.5557005749754023,2.1287520954985886,-689.729638671875,0.9,,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_33.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,34,GPArealModel,8.313472747802734,,0.4751756430970117,4.2029407511094865,0.8645846686050092,,,8.845025649286942,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_34.pt,,
vary_B2_annealed,49,6,2.0,34,GPmodel,7.931775093078613,,0.551354781993745,2.922416788140399,1.0114796998794489,,,5.300428841067988,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_34.pt,,
vary_B2_annealed,49,6,2.0,34,VI_best_tau_by_ELBO,8.269674301147461,,0.26266366243362427,3.4504959764421845,1.9105568428222324,-657.0705810546875,0.9,,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_34.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,35,GPArealModel,7.272215366363525,,0.3204785505050778,5.106601185344041,0.8437374568353959,,,15.934299432195946,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_35.pt,,
vary_B2_annealed,49,6,2.0,35,GPmodel,7.947581768035889,,0.43211971220102713,3.349200822520014,0.9814770271952777,,,7.7506318919372195,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_35.pt,,
