EXP_FOLDER,B,n_i,phi_true,seed,method,Beta,Beta_vec,Phi,Sigmasq,Tausq,ELBO,tau_selected,Sigmasq_phi,results_path,n_correct_perm_s,n_correct_perm_x
vary_B2_annealed,49,6,2.0,15,VI_best_tau_by_ELBO,1.9144096374511719,,0.26199644804000854,5.590021132117343,1.4830241637389845,-595.8197265625,0.9,,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_15.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,16,GPArealModel,2.665158748626709,,0.44972939546661383,5.797508686471651,0.25328513779810974,,,12.891104617381043,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_16.pt,,
vary_B2_annealed,49,6,2.0,16,GPmodel,1.970651626586914,,0.4813524874526869,5.673763187827025,0.4605826540130201,,,11.787127595107131,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_16.pt,,
vary_B2_annealed,49,6,2.0,16,VI_best_tau_by_ELBO,1.9588488340377808,,0.2621881663799286,6.339005634117258,1.458817520507144,-600.3194091796875,0.9,,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_16.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,17,GPArealModel,2.146226644515991,,0.6819108764201202,2.7710387766495344,2.4128653170886922,,,4.063637745737198,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_17.pt,,
vary_B2_annealed,49,6,2.0,17,GPmodel,2.0362417697906494,,0.8395856870063844,3.5243276788984432,0.2625952841947486,,,4.197698619023318,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_17.pt,,
vary_B2_annealed,49,6,2.0,17,VI_best_tau_by_ELBO,1.8670899868011475,,0.2626608908176422,5.425744236209146,1.308817044257465,-579.4599243164063,0.9,,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_17.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,18,GPArealModel,1.9823508262634277,,0.7780766871293827,5.195155391246559,0.2860602857623497,,,6.676919482594241,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_18.pt,,
vary_B2_annealed,49,6,2.0,18,GPmodel,2.0823094844818115,,0.5532273510141623,5.054207870415016,0.6240697209475864,,,9.135860439925414,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_18.pt,,
vary_B2_annealed,49,6,2.0,18,VI_best_tau_by_ELBO,2.0484580993652344,,0.26234233379364014,6.727930339210087,1.698880466510791,-618.5823852539063,0.9,,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_18.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,19,GPArealModel,1.8770703077316284,,0.2787301306154137,6.137100461937325,0.05402294555258705,,,22.018073354276776,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_19.pt,,
vary_B2_annealed,49,6,2.0,19,GPmodel,1.9530497789382935,,0.35874254268243805,4.150028714803741,0.6183293956395407,,,11.568264761052836,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_19.pt,,
vary_B2_annealed,49,6,2.0,19,VI_best_tau_by_ELBO,1.941994309425354,,0.2617852985858917,4.4307224657501285,1.2713845505606713,-572.2048461914062,0.9,,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_19.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,20,GPArealModel,1.3521597385406494,,0.6418278470228611,3.374580978280371,0.22199305287821974,,,5.257766539631262,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_20.pt,,
vary_B2_annealed,49,6,2.0,20,GPmodel,1.9662976264953613,,0.984202905596671,3.3969046769644122,0.3317731226090524,,,3.4514271982412463,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_20.pt,,
vary_B2_annealed,49,6,2.0,20,VI_best_tau_by_ELBO,1.8920173645019531,,0.2625464200973511,5.015948515571527,1.5662647746018887,-594.3454711914062,0.9,,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_20.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,21,GPArealModel,2.314401149749756,,1.0479470509101956,2.338660619310332,0.4882422308275877,,,2.2316591446858745,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_21.pt,,
vary_B2_annealed,49,6,2.0,21,GPmodel,2.0777716636657715,,1.0401943491894106,2.316235204595981,0.5285639483852768,,,2.2267331161729027,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_21.pt,,
vary_B2_annealed,49,6,2.0,21,VI_best_tau_by_ELBO,2.024017095565796,,0.2619782090187073,3.767954612904261,1.5053516051118134,-573.8601684570312,0.9,,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_21.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,22,GPArealModel,2.480591058731079,,1.5202522279294453,3.7505523015481943,0.37508195573480374,,,2.467059237042774,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_22.pt,,
vary_B2_annealed,49,6,2.0,22,GPmodel,2.0752201080322266,,0.8597221105928531,3.626686238132235,0.3659335127293923,,,4.218440113900664,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_22.pt,,
vary_B2_annealed,49,6,2.0,22,VI_best_tau_by_ELBO,2.082491159439087,,0.263075590133667,6.1999060534843435,1.4822603887601067,-597.967333984375,0.9,,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_22.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,23,GPArealModel,1.57065749168396,,1.339160082091497,3.326288407387962,0.14402057666500198,,,2.483861677084171,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_23.pt,,
vary_B2_annealed,49,6,2.0,23,GPmodel,2.0029995441436768,,1.0369064547790912,2.881154439906667,0.4584961722832713,,,2.778605945239762,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_23.pt,,
vary_B2_annealed,49,6,2.0,23,VI_best_tau_by_ELBO,1.9000877141952515,,0.2624690532684326,4.530929158110883,1.62005216270828,-589.9889038085937,0.9,,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_23.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,24,GPArealModel,2.4574434757232666,,0.49988110192034074,4.879006561095246,2.1304776975755058,,,9.760334092151272,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_24.pt,,
vary_B2_annealed,49,6,2.0,24,GPmodel,2.0745811462402344,,0.5558645537521117,4.991976656908107,0.6300560737377373,,,8.980563022434207,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_24.pt,,
vary_B2_annealed,49,6,2.0,24,VI_best_tau_by_ELBO,2.002046823501587,,0.26257675886154175,7.365954096883556,1.690804379023892,-623.7567016601563,0.9,,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_24.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,25,GPArealModel,2.582667589187622,,0.27426142672908027,4.299658802236291,1.8184109859885473,,,15.67722757631375,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_25.pt,,
vary_B2_annealed,49,6,2.0,25,GPmodel,2.0103211402893066,,0.49333900498042893,4.617538670486582,0.47041700739145853,,,9.359768078078,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_25.pt,,
vary_B2_annealed,49,6,2.0,25,VI_best_tau_by_ELBO,2.0936124324798584,,0.26178261637687683,4.608536967669832,1.3396759346525282,-583.435888671875,0.9,,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_25.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,26,GPArealModel,2.6389400959014893,,0.19122122155325705,8.565839030378633,0.9978170813906395,,,44.79544143061005,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_26.pt,,
vary_B2_annealed,49,6,2.0,26,GPmodel,2.015151023864746,,0.29688468038385035,6.908740154975073,0.5930220474343696,,,23.270786980461818,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_26.pt,,
vary_B2_annealed,49,6,2.0,26,VI_best_tau_by_ELBO,1.9522852897644043,,0.2616456151008606,5.728233384400667,1.5536937674457778,-608.9618896484375,0.9,,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_26.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,27,GPArealModel,2.430457353591919,,0.5254416545413363,4.322970432960251,0.08585200487586965,,,8.227308199868203,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_27.pt,,
